Case,Metric,Value,P-value (Randomization),P-value (t-test)
All Subs Together,R^2,0.18809181502450056,0.0,0.0
All Subs Together,RMSE,31.371212772700662,0.0,0.0
S1,R^2,0.3221731906017071,0.0013333333333333333,0.0
S1,RMSE,19.163812616915557,0.0013333333333333333,0.0
S2,R^2,0.648494622137187,0.0,0.0
S2,RMSE,25.360426451245633,0.0,0.0
S4,R^2,0.13498566201050866,0.015333333333333332,0.0
S4,RMSE,14.099543467234263,0.015333333333333332,0.0
S5,R^2,0.8060172165839665,0.0,0.0
S5,RMSE,17.365607386748874,0.0,0.0
S6,R^2,0.49781963310628463,0.0,0.0
S6,RMSE,11.41436287028601,0.0,0.0
S8,R^2,0.0881564099887241,0.04666666666666667,0.0
S8,RMSE,15.442607357031845,0.04666666666666667,0.0
S9,R^2,0.3858325882309456,0.0,0.0
S9,RMSE,14.344663994715772,0.0,0.0
S11,R^2,0.6759418587586618,0.0,0.0
S11,RMSE,16.34805597130891,0.0,0.0
S12,R^2,0.2344104150604409,0.005333333333333333,0.0
S12,RMSE,12.870428545388158,0.005333333333333333,0.0
avg,R^2,0.7680031003860932,0.0,0.0
avg,RMSE,8.298935725686038,0.0,0.0
