,RMSE,R_squared,Offset,Fovea,HM,VM,Eccentricity
S1,19.16381261691556,0.3221731906017071,74.5016661619585,-1.4113465318413148,2.3389740499130465,1.4378916617721171,2.961573290865102
S2,25.360426451245637,0.648494622137187,-24.25220763889275,2.353657751126921,0.55223321393103,1.833145223154031,3.018611806934944
S4,14.099543467234264,0.1349856620105086,27.37394111250071,1.0876485280228188,1.1018686032654483,-0.1070367598915543,1.0111469141471563
S5,17.365607386748874,0.8060172165839665,22.249126873997497,2.089337723030652,0.9751859023096056,1.2100257729202486,3.538644643233998
S6,11.41436287028601,0.4978196331062846,14.24201057867874,0.315983312999232,0.4954702827968976,2.271280620459809,1.5590951515809195
S8,15.442607357031845,0.0881564099887241,21.039169149231988,-0.7314687537222145,1.1342926559995945,1.682736845178151,1.2249137447704652
S9,14.344663994715772,0.3858325882309456,53.42203464555767,0.6563468397650152,-0.6434033270722916,1.7700946041824128,1.7917550891548235
S11,16.34805597130891,0.6759418587586618,22.576094421361542,2.2866077631882296,-0.6615433840738666,1.409462088504286,2.669213200830283
S12,12.870428545388158,0.2344104150604409,10.01994385477656,1.877682944729809,0.6732805702556922,0.05300185684646,1.0606864921179109
avg,8.298935725686038,0.7680031003860932,24.5746421479809,1.133279394232832,0.7327640359992599,1.483678491184119,1.988896032192423
AllTogether,31.371212772700662,0.1880918150245005,24.574642097377907,1.133276564215944,0.7327618629606274,1.4836743042013254,1.9889014260607936
Only Significant,33.67444649134458,0.22511115403893134,24.679809855592325,1.2662817149738803,0.6692015038253968,1.551473870513908,2.2655264387559457
